meshblock_id,census_year_id,one_family,one_person,other_multi,three_family,total,total_stated,two_family,unidentifiable
10007,1,9,3,0,0,18,15,0,0
10008,1,15,0,0,0,18,15,0,3
10009,1,12,0,0,0,12,12,0,0
10010,1,6,3,3,0,15,12,0,3
10011,1,15,6,0,0,21,21,0,0
10012,1,15,3,0,0,18,18,0,0
10013,1,0,0,0,0,0,0,0,0
10014,1,0,0,0,0,3,0,0,0
10101,1,24,9,3,0,42,42,3,0
10102,1,24,12,3,0,42,42,3,3
10200,1,0,0,0,0,3,0,0,0
10300,1,0,0,0,0,3,0,0,0
10400,1,9,0,0,0,12,12,0,0
10500,1,6,6,0,0,18,15,3,3
10600,1,30,3,0,0,33,33,0,0
10700,1,75,27,3,0,111,108,0,3
10800,1,0,0,0,0,0,0,0,0
10900,1,21,6,3,0,33,30,3,3
11000,1,9,3,0,0,18,15,3,0
11100,1,9,0,0,0,12,9,0,3
11200,1,0,0,0,0,0,0,0,0
11300,1,21,9,3,0,39,33,0,3
11400,1,9,6,0,0,12,12,0,3
11500,1,0,0,0,0,3,0,0,0
11600,1,0,0,0,0,6,0,0,0
11700,1,9,3,0,0,12,12,0,0
11800,1,9,3,0,0,15,12,0,3
11900,1,12,0,3,0,15,15,0,3
12000,1,0,0,0,0,6,6,0,0
12101,1,0,0,0,0,0,0,0,0
12102,1,0,0,0,0,6,0,0,0
12103,1,9,12,0,0,27,24,0,0
12200,1,9,0,0,0,12,9,0,3
12300,1,12,0,0,0,18,12,0,3
12400,1,24,9,0,0,39,39,3,3
12500,1,6,6,0,0,15,12,0,3
12601,1,0,0,0,0,12,12,0,0
12602,1,6,0,0,0,9,9,0,0
12701,1,12,6,3,0,24,21,0,0
12702,1,15,3,0,0,27,21,0,6
12800,1,0,0,0,0,0,0,0,0
12902,1,15,3,0,0,18,18,0,0
12903,1,27,15,0,0,45,45,3,3
12904,1,36,12,3,0,60,54,0,6
13000,1,48,6,0,0,60,57,0,3
13100,1,48,21,3,0,81,75,3,6
13203,1,39,9,3,0,63,57,6,6
13204,1,15,6,0,0,21,21,0,0
13205,1,24,9,0,0,36,36,0,3
13206,1,21,9,0,0,45,36,3,9
13207,1,21,0,0,0,27,21,0,6
13300,1,57,21,6,0,93,90,6,3
13400,1,39,18,3,0,63,60,0,0
13500,1,0,0,0,0,6,0,0,0
13600,1,12,3,0,0,18,15,0,0
13700,1,21,21,0,0,45,42,0,0
13800,1,0,0,0,0,0,0,0,0
13900,1,21,9,3,0,36,33,0,3
14000,1,0,0,0,0,3,0,0,0
14100,1,6,9,0,0,15,15,0,0
14200,1,0,0,0,0,6,0,0,0
14300,1,24,12,3,0,42,39,0,0
14400,1,60,15,3,0,84,81,0,6
14500,1,0,0,0,0,9,6,0,0
14600,1,0,0,0,0,0,0,0,0
14700,1,12,9,3,0,24,24,0,3
14800,1,0,0,0,0,6,0,0,0
14900,1,33,18,3,0,57,54,3,0
15000,1,18,6,0,0,27,24,0,0
15100,1,18,36,0,0,57,54,0,0
15200,1,15,6,0,0,24,21,0,3
15300,1,45,27,0,0,78,72,0,6
15401,1,0,0,0,0,6,6,0,0
15402,1,45,27,3,0,81,81,3,3
15500,1,66,12,6,0,90,87,6,0
15600,1,30,9,0,0,48,45,3,0
15700,1,18,33,0,0,51,54,3,0
15800,1,27,6,0,0,36,33,0,0
15900,1,15,6,3,0,24,24,0,0
16000,1,15,12,0,0,27,27,0,0
16100,1,0,0,0,0,0,0,0,0
16200,1,15,9,0,0,30,24,3,3
16300,1,24,18,3,0,48,42,0,6
16400,1,0,0,0,0,9,9,0,0
16500,1,0,0,0,0,3,0,0,0
16600,1,15,9,0,0,33,27,0,6
16700,1,12,15,0,0,30,27,0,3
16800,1,9,6,0,0,18,15,0,0
16901,1,0,0,0,0,0,0,0,0
16902,1,0,0,0,0,0,0,0,0
17001,1,0,0,0,0,0,0,0,0
17003,1,0,0,0,0,0,0,0,0
17005,1,0,0,0,0,0,0,0,0
17006,1,0,0,0,0,0,0,0,0
17100,1,0,0,0,0,0,0,0,0
17200,1,0,0,0,0,0,0,0,0
17301,1,9,0,0,0,15,12,3,3
17302,1,9,3,0,0,15,15,0,0
17402,1,24,12,3,0,42,36,0,3
17403,1,12,3,0,0,24,15,0,6
17404,1,0,0,0,0,3,0,0,0
17405,1,0,0,0,0,0,0,0,0
17406,1,0,0,0,0,3,0,0,0
17407,1,0,0,0,0,3,0,0,0
17408,1,6,0,0,0,12,9,0,0
17409,1,0,0,0,0,6,0,0,0
17500,1,24,9,0,0,42,39,3,3
17600,1,24,6,0,0,36,33,0,3
17700,1,21,6,3,0,33,33,0,0
17800,1,21,6,0,0,30,27,0,6
17900,1,0,0,0,0,6,0,0,0
18000,1,0,0,0,0,3,0,0,0
18100,1,18,9,0,0,33,30,3,3
18201,1,27,15,0,0,48,39,0,9
18202,1,0,0,0,0,0,0,0,0
18203,1,0,0,0,0,6,0,0,0
18300,1,12,3,0,0,15,15,0,0
18400,1,0,0,0,0,6,6,0,0
18500,1,12,3,3,0,15,15,0,0
18600,1,0,0,0,0,9,6,0,0
18700,1,12,9,3,0,21,24,0,3
18800,1,18,6,3,0,27,24,0,0
18900,1,60,21,6,0,87,87,3,0
19000,1,0,0,0,0,3,0,0,0
19100,1,12,3,0,0,18,18,0,0
19200,1,6,3,0,0,15,12,0,0
19300,1,15,3,0,0,18,18,0,0
19400,1,36,9,0,0,51,45,0,6
19500,1,0,0,0,0,0,0,0,0
19600,1,21,9,3,0,39,36,3,3
19700,1,24,9,0,0,39,33,0,3
19801,1,21,9,0,0,42,33,3,6
19802,1,0,0,0,0,0,0,0,0
19900,1,48,27,3,0,81,81,0,0
20000,1,30,15,0,0,51,45,0,6
20100,1,0,0,0,0,0,0,0,0
20200,1,51,12,0,3,69,63,0,3
20300,1,21,9,3,0,36,33,0,0
20401,1,39,9,0,0,60,54,0,9
20402,1,33,6,3,0,51,45,3,3
20500,1,0,0,0,0,0,0,0,0
20600,1,6,0,0,0,9,9,0,0
20700,1,12,6,0,0,24,18,0,6
20800,1,6,3,0,0,15,12,0,3
20900,1,12,3,0,0,12,15,0,0
21000,1,6,3,0,0,18,9,0,9
21100,1,0,0,0,0,6,0,0,0
21200,1,0,0,0,0,6,0,0,0
21300,1,6,3,0,0,15,9,0,3
21400,1,9,0,0,0,15,12,0,3
21500,1,0,0,0,0,3,0,0,0
21600,1,0,0,0,0,0,0,0,0
21700,1,0,0,0,0,0,0,0,0
21800,1,0,0,0,0,0,0,0,0
21900,1,9,9,0,0,15,15,0,0
22000,1,27,15,3,0,51,51,3,3
22100,1,9,3,3,0,15,15,0,0
22200,1,0,0,0,0,9,9,0,0
22300,1,15,6,0,0,24,21,0,3
22400,1,9,0,0,0,12,12,0,0
22500,1,30,6,0,0,51,42,6,6
22600,1,0,6,0,0,12,9,0,0
22700,1,9,3,0,0,15,12,0,3
22800,1,12,9,3,0,33,30,3,3
22900,1,6,0,0,0,9,6,0,0
23000,1,12,6,0,0,18,18,0,3
23100,1,30,6,3,0,45,42,0,3
23200,1,0,0,0,0,9,9,0,0
23300,1,24,6,0,0,33,33,0,3
23400,1,18,9,0,0,27,24,0,3
23500,1,0,0,0,0,0,0,0,0
23600,1,18,18,3,0,39,39,0,0
23700,1,24,6,3,0,36,33,0,3
23800,1,27,6,3,0,42,36,0,6
23900,1,9,9,3,0,21,18,0,0
24000,1,18,6,0,0,27,24,0,3
24100,1,0,0,0,0,9,9,0,0
24201,1,0,0,0,0,3,0,0,0
24202,1,0,0,0,0,0,0,0,0
24300,1,15,6,3,0,27,21,3,3
24400,1,24,9,0,3,48,36,0,15
24500,1,9,3,0,0,18,12,0,6
24600,1,12,6,0,0,24,18,0,6
24700,1,3,6,0,0,15,9,0,9
24800,1,0,0,0,0,0,0,0,0
24900,1,9,3,0,0,15,15,0,0
25000,1,9,0,0,0,12,12,0,0
25100,1,18,6,0,0,27,27,0,0
25200,1,24,9,0,0,33,30,0,0
25300,1,18,6,3,0,30,27,0,3
25400,1,12,9,0,0,21,21,0,0
25500,1,12,3,0,0,18,15,0,0
25600,1,12,6,0,0,18,21,0,0
25700,1,6,6,0,0,12,12,0,0
25800,1,21,9,3,0,33,33,0,3
25900,1,6,0,0,0,9,9,0,0
26001,1,9,9,0,0,18,18,0,3
26002,1,21,27,0,0,51,51,0,3
26100,1,0,0,0,0,0,0,0,0
26201,1,9,3,3,0,15,12,0,0
26202,1,54,18,3,0,81,75,0,3
26301,1,0,0,0,0,0,0,0,0
26302,1,12,3,0,0,18,15,0,3
26303,1,18,3,0,0,24,24,0,0
26304,1,0,0,0,0,0,0,0,0
26305,1,0,0,0,0,3,0,0,0
26400,1,6,6,3,0,18,15,0,0
26500,1,15,3,3,0,21,21,0,3
26600,1,6,6,0,0,15,12,0,3
26700,1,0,0,0,0,9,9,0,0
26800,1,21,3,3,0,24,24,0,0
26900,1,21,6,0,0,24,24,0,0
27000,1,0,0,0,0,3,0,0,0
27100,1,9,6,0,0,15,12,0,3
27200,1,0,0,0,0,0,0,0,0
27300,1,9,9,0,0,18,18,0,0
27400,1,15,6,3,0,18,21,0,0
27500,1,9,12,0,0,21,21,0,3
27600,1,9,0,0,0,12,12,0,0
27700,1,0,0,0,0,9,6,0,0
27800,1,6,3,3,0,15,15,3,0
27900,1,0,0,0,0,6,0,0,0
28000,1,0,0,0,0,9,9,0,0
28100,1,12,0,0,0,15,12,0,3
28201,1,0,0,0,0,0,0,0,0
28202,1,0,0,0,0,6,6,0,0
28300,1,27,3,0,0,33,30,0,3
28400,1,0,0,0,0,0,0,0,0
28500,1,6,3,0,0,12,9,0,0
28600,1,9,3,0,0,12,15,0,0
28700,1,9,3,0,0,15,12,0,0
28800,1,0,0,0,0,3,0,0,0
28900,1,12,6,0,0,21,21,0,0
29000,1,6,0,0,0,9,9,0,0
29101,1,0,0,0,0,0,0,0,0
29102,1,0,0,0,0,0,0,0,0
29200,1,0,0,0,0,6,6,0,0
29301,1,0,0,0,0,0,0,0,0
29302,1,6,0,0,0,9,9,0,0
29400,1,21,3,0,0,27,24,0,3
29500,1,12,3,0,0,21,18,3,0
29600,1,9,0,0,0,12,12,0,0
29700,1,9,6,0,0,18,15,0,0
29800,1,21,3,3,0,27,24,0,3
29900,1,0,0,0,0,3,0,0,0
30000,1,15,3,3,0,18,15,0,0
30100,1,9,0,0,0,9,9,0,0
30200,1,6,0,0,0,9,9,0,0
30300,1,6,0,0,0,9,6,0,0
30400,1,15,6,0,0,21,21,0,0
30500,1,9,0,3,0,15,15,0,0
30600,1,9,18,0,0,27,27,0,0
30700,1,21,6,0,0,30,27,0,0
30800,1,9,0,0,0,12,12,0,0
30900,1,6,0,0,0,12,12,0,0
31000,1,9,0,0,0,12,12,0,0
31100,1,6,0,0,0,9,9,0,0
31200,1,18,6,0,0,24,21,3,0
31300,1,0,0,0,0,3,0,0,0
31400,1,9,6,0,0,18,15,0,0
31500,1,24,27,0,0,54,54,0,0
31600,1,0,0,0,0,9,6,0,0
31700,1,9,0,0,0,12,12,0,0
31800,1,18,9,0,0,27,27,0,0
31900,1,15,6,0,0,21,21,0,0
32000,1,0,0,0,0,0,0,0,0
32100,1,15,3,0,0,24,18,0,3
32200,1,0,0,0,0,6,0,0,0
32300,1,33,6,0,0,45,42,0,3
32400,1,6,0,0,0,12,9,0,0
32501,1,12,6,0,0,21,21,3,0
32502,1,0,0,0,0,0,0,0,0
32600,1,24,9,0,0,36,36,0,0
32700,1,12,0,0,0,15,12,0,0
32800,1,6,0,0,0,6,6,0,0
32900,1,9,0,0,0,12,12,0,0
33000,1,15,3,0,0,21,18,0,3
33100,1,30,12,0,0,48,45,3,3
33200,1,9,0,0,0,12,9,0,0
33300,1,0,0,0,0,3,0,0,0
33400,1,15,3,0,0,18,18,0,0
33500,1,0,0,0,0,9,6,0,0
33600,1,39,6,0,0,48,45,0,3
33700,1,39,3,0,0,51,48,0,3
33800,1,36,3,0,0,45,42,3,0
33900,1,21,3,0,0,27,27,3,0
34000,1,9,0,0,0,12,12,0,0
34101,1,39,12,0,0,51,51,0,0
34102,1,6,0,0,0,9,6,0,0
34201,1,21,3,0,0,24,27,0,0
34202,1,27,6,0,0,33,33,3,0
34301,1,9,3,0,0,15,12,0,0
34302,1,0,0,0,0,3,0,0,0
34400,1,18,3,0,0,21,21,0,0
34500,1,12,0,3,0,12,12,0,0
34600,1,15,3,0,0,24,24,0,0
34700,1,27,9,3,3,42,42,0,0
34800,1,9,3,0,0,15,12,0,0
34900,1,12,6,3,0,18,21,0,0
35000,1,24,6,0,0,30,30,0,0
35100,1,6,0,0,0,6,6,0,0
35200,1,30,9,0,0,42,42,0,3
35300,1,6,0,0,0,12,12,0,0
35401,1,0,0,0,0,3,0,0,0
35402,1,6,6,3,0,12,12,0,0
35501,1,12,3,0,0,15,15,0,0
35502,1,0,0,0,0,0,0,0,0
35600,1,15,6,0,0,21,21,0,0
35700,1,30,12,0,0,42,42,0,0
35800,1,24,9,3,0,36,36,0,0
35900,1,33,6,0,0,39,36,0,0
36000,1,9,0,0,0,9,9,0,0
36100,1,9,0,0,3,15,15,0,3
36202,1,0,0,0,0,0,0,0,0
36203,1,0,0,0,0,3,0,0,0
36204,1,0,0,0,0,3,0,0,0
36301,1,0,0,0,0,6,0,0,0
36302,1,24,3,0,0,30,27,0,3
36303,1,0,0,0,0,3,0,0,0
36401,1,6,3,0,0,15,12,0,0
36402,1,0,0,0,0,3,0,0,0
36500,1,15,3,0,0,21,15,3,3
36600,1,0,0,0,0,3,0,0,0
36700,1,21,6,0,0,33,33,3,0
36800,1,9,0,0,0,9,6,0,0
36901,1,0,0,0,0,3,0,0,0
36902,1,0,0,0,0,6,6,0,0
37000,1,9,6,3,0,21,18,0,3
37100,1,0,0,0,0,0,0,0,0
37202,1,0,0,0,0,6,6,0,0
37203,1,0,0,0,0,0,0,0,0
37204,1,0,0,0,0,0,0,0,0
37205,1,0,0,0,0,0,0,0,0
37301,1,0,0,0,0,0,0,0,0
37302,1,0,0,0,0,3,0,0,0
37401,1,18,9,0,0,33,30,3,3
37402,1,27,9,3,0,48,39,3,6
37501,1,9,6,0,0,12,12,0,0
37502,1,0,0,0,0,9,9,0,0
37600,1,12,6,0,0,21,18,0,0
37701,1,0,0,0,0,6,6,0,0
37702,1,0,0,0,0,9,9,0,0
37802,1,42,12,0,0,60,54,3,6
37803,1,12,3,0,0,18,18,0,0
37804,1,0,0,0,0,3,0,0,0
37805,1,0,0,0,0,3,0,0,0
37806,1,0,0,0,0,0,0,0,0
37807,1,15,0,0,0,15,18,3,0
37901,1,15,3,0,0,15,15,0,0
37902,1,0,0,0,0,0,0,0,0
38001,1,6,0,0,0,9,9,0,0
38002,1,0,0,0,0,0,0,0,0
38100,1,18,0,0,0,21,21,0,0
38200,1,21,3,3,0,27,24,0,3
38300,1,6,3,0,0,15,15,6,3
38400,1,9,0,0,0,12,9,0,0
38500,1,15,3,0,0,18,18,0,0
38600,1,12,3,0,0,18,18,3,0
38700,1,18,3,0,0,21,21,3,0
38800,1,0,0,0,0,3,0,0,0
38900,1,9,3,0,0,12,12,0,0
39000,1,21,6,0,0,30,24,0,3
39100,1,12,0,0,0,15,15,0,0
39200,1,6,0,0,0,9,12,0,0
39300,1,6,0,0,0,9,9,0,0
39400,1,0,0,0,0,3,0,0,0
39500,1,18,9,3,0,27,27,3,0
39600,1,9,3,0,0,15,15,0,0
39701,1,0,0,0,0,6,0,0,0
39702,1,0,0,0,0,3,0,0,0
39800,1,6,0,0,0,9,9,0,0
39900,1,18,6,0,0,27,24,0,3
40001,1,0,0,0,0,3,0,0,0
40002,1,0,0,0,0,6,6,0,0
40100,1,9,0,0,0,6,9,0,0
40200,1,12,3,0,0,18,18,0,0
40300,1,0,0,0,0,6,6,0,0
40400,1,0,0,0,0,6,0,0,0
40501,1,15,0,0,0,15,15,0,3
40502,1,0,0,0,0,0,0,0,0
40601,1,9,6,0,0,15,12,0,0
40602,1,0,0,0,0,0,0,0,0
40701,1,36,3,3,0,42,42,0,0
40702,1,15,3,3,0,15,15,3,0
40703,1,27,3,3,0,33,33,0,0
40801,1,27,6,3,0,39,39,0,0
40802,1,12,3,0,0,15,12,0,3
40900,1,21,3,3,0,30,30,3,0
41000,1,6,30,0,0,36,36,0,0
41100,1,24,15,0,0,39,39,0,0
41200,1,42,12,3,0,57,57,3,0
41300,1,45,15,3,0,63,60,0,0
41401,1,18,0,0,0,21,18,0,0
41402,1,21,6,0,0,36,33,0,3
41403,1,27,3,0,0,33,33,0,0
41500,1,9,0,0,0,12,9,0,0
41600,1,15,9,0,0,27,24,0,3
41700,1,27,12,0,0,48,45,3,3
41800,1,24,9,3,0,36,36,0,0
41900,1,27,9,0,0,33,33,0,0
42001,1,24,3,3,0,33,30,0,6
42002,1,18,6,3,0,30,27,0,3
42101,1,0,0,0,0,3,0,0,0
42102,1,21,3,0,0,21,24,0,0
42103,1,15,3,0,0,18,18,0,3
42201,1,0,0,0,0,0,0,0,0
42202,1,54,3,0,0,69,69,6,3
42300,1,30,9,0,0,45,45,3,0
42400,1,24,6,0,0,30,27,0,0
42500,1,15,15,3,0,30,30,3,0
42600,1,9,3,3,0,15,15,0,0
42700,1,21,3,0,0,27,24,3,0
42800,1,0,0,0,0,0,0,0,0
42900,1,9,9,0,0,21,18,0,0
43000,1,21,9,3,0,39,33,0,6
43100,1,30,9,0,0,39,39,0,0
43200,1,27,6,3,0,39,36,0,6
43300,1,9,6,3,0,18,18,0,0
43400,1,6,0,0,0,12,12,0,0
43500,1,33,9,0,0,45,45,3,0
43600,1,18,3,0,0,21,18,0,3
43700,1,0,0,0,0,3,0,0,0
43800,1,27,3,0,0,36,30,3,3
43902,1,9,0,0,0,9,9,0,0
43904,1,21,9,3,0,33,33,0,3
43905,1,24,6,0,0,33,33,0,0
43906,1,48,9,3,0,63,63,0,3
43907,1,30,9,3,0,45,39,0,6
44003,1,33,3,0,0,39,39,0,3
44004,1,33,3,3,0,42,42,0,0
44005,1,36,0,0,0,39,36,0,6
44006,1,21,3,3,0,30,27,0,3
44007,1,0,0,0,0,6,0,0,0
44008,1,12,0,3,0,18,18,3,0
44101,1,0,0,0,0,0,0,0,0
44102,1,54,12,6,0,84,72,3,15
44201,1,12,3,0,0,21,15,0,3
44202,1,0,0,0,0,0,0,0,0
44301,1,15,9,3,0,33,30,0,6
44302,1,0,0,0,0,0,0,0,0
44402,1,0,0,0,0,3,0,0,0
44403,1,24,3,0,0,30,30,0,3
44404,1,57,9,0,0,72,66,0,3
44405,1,21,6,0,0,30,27,0,0
44406,1,45,12,0,0,60,57,0,3
44501,1,54,12,0,0,72,72,3,0
44503,1,6,0,0,0,6,6,0,0
44504,1,30,3,3,0,33,33,0,3
44505,1,24,3,0,0,27,27,0,0
44506,1,0,0,0,0,0,0,0,0
44507,1,15,0,0,0,15,18,0,0
44508,1,12,0,0,0,12,15,0,0
44602,1,27,9,6,0,45,42,0,3
44603,1,12,0,0,0,12,12,0,3
44604,1,0,0,0,0,3,0,0,0
44605,1,15,3,0,0,18,18,0,0
44606,1,12,0,0,0,12,12,0,0
44607,1,0,0,0,0,0,0,0,0
44608,1,0,0,0,0,3,0,0,0
44609,1,0,0,0,0,3,0,0,0
44610,1,0,0,0,0,6,6,0,0
44611,1,0,0,0,0,0,0,0,0
44701,1,24,3,0,0,30,27,0,0
44702,1,45,6,0,0,51,51,0,0
44703,1,0,0,0,0,3,0,0,0
44801,1,39,3,0,0,45,45,0,0
44803,1,12,6,3,0,21,18,3,0
44804,1,12,3,0,0,21,21,0,3
44805,1,9,0,0,0,12,12,0,0
44806,1,15,3,3,0,18,15,0,0
44807,1,21,0,0,0,18,18,0,0
44808,1,15,6,0,0,21,18,0,3
44901,1,15,3,0,0,21,18,0,0
44902,1,0,0,0,0,9,6,0,0
45000,1,21,3,0,0,27,27,3,3
45100,1,15,0,0,0,18,15,0,0
45200,1,15,0,0,0,15,12,0,3
45300,1,15,6,3,0,21,21,0,0
45400,1,12,3,3,0,15,15,0,0
45500,1,0,0,0,0,6,6,0,0
45600,1,12,0,0,0,12,12,0,0
45700,1,0,0,0,0,6,6,0,0
45800,1,12,0,0,0,15,15,0,0
45901,1,12,0,0,0,12,12,0,0
45902,1,9,0,0,0,9,9,0,0
46001,1,6,0,0,0,9,6,0,0
46002,1,9,0,0,0,9,9,0,0
46100,1,6,3,3,0,12,12,0,3
46200,1,6,0,0,0,12,9,0,0
46300,1,6,6,0,0,15,15,0,0
46400,1,15,3,0,0,18,15,0,0
46500,1,0,0,0,0,6,6,0,0
46600,1,0,0,0,0,3,0,0,0
46700,1,15,3,0,0,21,18,0,3
46801,1,0,0,0,0,9,9,0,0
46802,1,0,0,0,0,9,9,0,0
46901,1,0,0,0,0,3,0,0,0
46902,1,0,0,0,0,6,6,0,0
47001,1,0,0,0,0,0,0,0,0
47002,1,0,0,0,0,9,0,0,0
47100,1,0,0,0,0,3,0,0,0
47200,1,0,0,0,0,3,0,0,0
47301,1,6,3,0,0,15,15,3,3
47302,1,0,0,0,0,3,0,0,0
47400,1,0,0,0,0,6,0,0,0
47500,1,0,0,0,0,9,6,0,0
47601,1,0,0,0,0,3,0,0,0
47602,1,0,0,0,0,3,0,0,0
